employeeId,firstName,lastName,birthday,address,phoneNumber,email,status,position,immediateSupervisor,basicSalary,riceSubsidy,phoneAllowance,clothingAllowance,grossSemiMonthlyRate,hourlyRate,sssNumber,philhealthNumber,tinNumber,pagibigNumber,username,password,role
10001,Manuel III,Garcia,1983-10-11,"Valero Carpark Building Valero Street 1227, Makati City",639668602700,manueliii.garcia@motorph.com,Regular,Chief Executive Officer,N/A,90000,1500,2000,1000,45000,536,4445060573,820126853951,442605657000,691295330870,manuel.g,1234,Admin
10002,Antonio,Lim,1988-06-19,"San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite",639718674110,antonio.lim@motorph.com,Regular,Chief Operating Officer,"Garcia, Manuel III",60000,1500,2000,1000,30000,357,5220612749,331735646338,683102776000,663904995411,antonio.l,1234,Admin
10003,Bianca Sofia,Aquino,1989-08-04,"Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City",639668893700,biancasofia.aquino@motorph.com,Regular,Chief Finance Officer,"Garcia, Manuel III",60000,1500,2000,1000,30000,357,3088704062,177451189665,971711280000,171519773969,biancasofia.a,1234,Admin
10004,Isabella,Reyes,1994-06-16,"460 Solanda Street Intramuros 1000, Manila",639868684770,isabella.reyes@motorph.com,Regular,Chief Marketing Officer,"Garcia, Manuel III",60000,1500,2000,1000,30000,357,4025118150,341911411254,876809437000,416946776041,isabella.r,1234,Admin
10005,Eduard,Hernandez,1989-09-23,"National Highway, Gingoog, Misamis Occidental",639888610120,eduard.hernandez@motorph.com,Regular,IT Operations and Systems,"Lim, Antonio",52670,1500,1000,1000,26335,314,5055776381,957436191812,031702374000,952347222457,edward.h,1234,IT
10006,Andrea Mae,Villanueva,1988-02-14,"17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands",639186216030,andreamae.villanueva@motorph.com,Regular,HR Manager,"Lim, Antonio",52670,1500,1000,1000,26335,314,4916320208,382189453145,317674022000,441093369646,andreamae.v,1234,HR
10007,Brad,San Jose,1996-03-15,"99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi",639970092610,brad.sanjose@motorph.com,Regular,HR Team Leader,"Villanueva, Andrea Mae",42975,1500,800,800,21488,256,4024007141,239192926939,672474690000,210850209964,brad.sj,1234,HR
10008,Alice,Romualdez,1992-05-14,"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte",639836067990,alice.romualdez@motorph.com,Regular,HR Rank and File,"San Jose, Brad",22500,1500,500,500,11250,134,5544765272,545652640232,888572294000,211385556888,alice.r,1234,Employee
10009,Rosie,Atienza,1948-09-24,"90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte",639660364270,rosie.atienza@motorph.com,Regular,HR Rank and File,"San Jose, Brad",22500,1500,500,500,11250,134,4106446923,708988234853,604997793000,260107732354,rosie.a,1234,Employee
10010,Roderick,Alvaro,1988-03-30,"#284 T. Morato corner, Scout Rallos Street, Quezon City",639533813860,roderick.alvaro@motorph.com,Regular,Accounting Head,"Aquino, Bianca Sofia",52670,1500,1000,1000,26335,314,6476050544,578114853194,525420419000,799254095212,roderick.a,1234,Finance
10011,Anthony,Salcedo,1993-09-14,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",639707663000,anthony.salcedo@motorph.com,Regular,Payroll Manager,"Alvaro, Roderick",50825,1500,1000,1000,25413,303,2696476083,126445315651,210805911000,218002473454,anthony.s,1234,Finance
10012,Josie,Lopez,1987-01-14,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",639783554270,josie.lopez@motorph.com,Regular,Payroll Team Leader,"Salcedo, Anthony",38475,1500,800,800,19238,229,4485634483,431709011012,218489737000,113071293354,josie.l,1234,Finance
10013,Martha,Farala,1942-01-11,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte",639290343660,martha.farala@motorph.com,Regular,Payroll Rank and File,"Salcedo, Anthony",24000,1500,500,500,12000,143,4556563750,233693897247,210835851000,631130283546,martha.f,1234,Employee
